metal,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median
Co,O,39,-0.3565828424330174,-0.0004484186359869,-0.09229059440986213,-0.070898439215934
Co,S,4,-0.0882133689004489,-0.0106068050784173,-0.04916842292724115,-0.0489267588650492
Cr,O,52,-0.2536050290405826,-0.0056221350284054,-0.07239300650306976,-0.03786498304226535
Cr,S,7,-0.1130756385898952,-0.0045214555571357,-0.07315269274443052,-0.0778235888529349
Cu,O,1,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983
Cu,S,4,-0.330844781972502,-0.0798072845307308,-0.1570156314574137,-0.108705229663211
Fe,O,122,-0.4713825755546094,-0.0005208892456901,-0.09723973046105756,-0.075346102898323
Fe,S,12,-0.1163896643480806,-0.0138604983318336,-0.06819921512046506,-0.07390209465414149
Hf,O,8,-0.2547082801084714,-0.0723058534666633,-0.18637441510836134,-0.2481357637562324
Hf,S,1,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999
Mn,O,62,-0.5650836296435213,-0.001688281176031,-0.104514189791623,-0.06863462554722871
Mn,S,5,-0.0280385302952868,-0.0058219402534333,-0.01535236338841176,-0.0130669948876649
Mo,O,1,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722
Mo,S,4,-0.1586130006063377,-0.065983674271478,-0.11255755664120423,-0.11281677584350061
Nb,O,17,-0.2684123941870342,-0.0018725741064267,-0.113888708782357,-0.0950039586519049
Nb,S,13,-1.0842023921852433,-7.521880662195515e-05,-0.2235530546125471,-0.1299769463492968
Ni,O,29,-0.2641469386601428,-3.9130109570294745e-05,-0.08311850235431452,-0.0724682875379509
Ni,S,12,-0.3366414857509834,-0.0028792573203207,-0.0911586870638238,-0.059112760581909105
Pd,O,3,-0.3659186590475131,-6.222985105498041e-05,-0.14104825459964995,-0.0571638749003818
Pd,S,3,-0.1654040371581073,-0.0703960055736149,-0.1165940473355357,-0.1139820992748849
Rh,O,4,-0.1669840359979043,-0.081589350806994,-0.1067681595792612,-0.08924962575607326
Rh,S,1,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264
Sc,O,8,-0.4387089915759971,-0.0267760387026724,-0.18311571010891478,-0.15089766163755006
Sc,S,3,-0.277944709160809,-0.0646852634887339,-0.13684470199516094,-0.0679041333359399
Ta,O,6,-0.2558979205585986,-0.0582325198047619,-0.13008074838553546,-0.1217281068797397
Ta,S,6,-0.2798808034141286,-0.0011580959208354,-0.15305757535800585,-0.1415969206151971
Tc,O,1,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884
Ti,O,107,-1.6057661461466,-0.0013537552735208,-0.28267360466918057,-0.1383391378585381
Ti,S,14,-0.7069226199479104,-0.0061766977331722,-0.15846982521178038,-0.0645382196858777
V,O,130,-0.6891613514457487,-0.0020327994549086,-0.0987093233190171,-0.08317956774025614
V,S,13,-0.4423245653306554,-0.0005012014548109,-0.10356334319273298,-0.0732435221203235
Y,O,19,-0.6326966991093349,-0.0013405907472044,-0.2069900644237729,-0.1165153187940653
Y,S,4,-0.2155435175171478,-0.018238756798264,-0.11399126733541733,-0.11109139751312874
Zn,O,5,-0.2045787050979867,-0.1136383585203062,-0.18398881165149458,-0.2038882237641298
Zn,S,98,-0.2049524028841518,-0.0591086933613166,-0.10263519109744337,-0.1079162499164326
Zr,O,19,-0.3419377176395783,-0.0040043007703217,-0.15572789416029287,-0.129005946256626
Zr,S,11,-0.7231444753281236,-0.0577098220038514,-0.34936038680728015,-0.4051212867307233
