metal,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median,electronegativity
Co,O,39,-0.3565828424330174,-0.0004484186359869,-0.0922905944098621,-0.070898439215934,1.88
Co,S,4,-0.0882133689004489,-0.0106068050784173,-0.0491684229272411,-0.0489267588650492,1.88
Cr,O,52,-0.2536050290405826,-0.0056221350284054,-0.0723930065030697,-0.0378649830422653,1.66
Cr,S,7,-0.1130756385898952,-0.0045214555571357,-0.0731526927444305,-0.0778235888529349,1.66
Cu,O,1,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983,1.9
Cu,S,4,-0.330844781972502,-0.0798072845307308,-0.1570156314574137,-0.108705229663211,1.9
Fe,O,122,-0.4713825755546094,-0.0005208892456901,-0.0972397304610575,-0.075346102898323,1.83
Fe,S,12,-0.1163896643480806,-0.0138604983318336,-0.068199215120465,-0.0739020946541414,1.83
Hf,O,8,-0.2547082801084714,-0.0723058534666633,-0.1863744151083613,-0.2481357637562324,1.3
Hf,S,1,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999,1.3
Mn,O,62,-0.5650836296435213,-0.001688281176031,-0.104514189791623,-0.0686346255472287,1.55
Mn,S,5,-0.0280385302952868,-0.0058219402534333,-0.0153523633884117,-0.0130669948876649,1.55
Mo,O,1,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722,2.16
Mo,S,4,-0.1586130006063377,-0.065983674271478,-0.1125575566412042,-0.1128167758435006,2.16
Nb,O,17,-0.2684123941870342,-0.0018725741064267,-0.113888708782357,-0.0950039586519049,1.6
Nb,S,13,-1.0842023921852433,-7.521880662195515e-05,-0.2235530546125471,-0.1299769463492968,1.6
Ni,O,29,-0.2641469386601428,-3.9130109570294745e-05,-0.0831185023543145,-0.0724682875379509,1.91
Ni,S,12,-0.3366414857509834,-0.0028792573203207,-0.0911586870638238,-0.0591127605819091,1.91
Pd,O,3,-0.3659186590475131,-6.222985105498041e-05,-0.1410482545996499,-0.0571638749003818,2.2
Pd,S,3,-0.1654040371581073,-0.0703960055736149,-0.1165940473355357,-0.1139820992748849,2.2
Rh,O,4,-0.1669840359979043,-0.081589350806994,-0.1067681595792612,-0.0892496257560732,2.28
Rh,S,1,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,2.28
Sc,O,8,-0.4387089915759971,-0.0267760387026724,-0.1831157101089147,-0.15089766163755,1.36
Sc,S,3,-0.277944709160809,-0.0646852634887339,-0.1368447019951609,-0.0679041333359399,1.36
Ta,O,6,-0.2558979205585986,-0.0582325198047619,-0.1300807483855354,-0.1217281068797397,1.5
Ta,S,6,-0.2798808034141286,-0.0011580959208354,-0.1530575753580058,-0.1415969206151971,1.5
Tc,O,1,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884,1.9
Ti,O,107,-1.6057661461466,-0.0013537552735208,-0.2826736046691805,-0.1383391378585381,1.54
Ti,S,14,-0.7069226199479104,-0.0061766977331722,-0.1584698252117803,-0.0645382196858777,1.54
V,O,130,-0.6891613514457487,-0.0020327994549086,-0.0987093233190171,-0.0831795677402561,1.63
V,S,13,-0.4423245653306554,-0.0005012014548109,-0.1035633431927329,-0.0732435221203235,1.63
Y,O,19,-0.6326966991093349,-0.0013405907472044,-0.2069900644237729,-0.1165153187940653,1.22
Y,S,4,-0.2155435175171478,-0.018238756798264,-0.1139912673354173,-0.1110913975131287,1.22
Zn,O,5,-0.2045787050979867,-0.1136383585203062,-0.1839888116514945,-0.2038882237641298,1.65
Zn,S,98,-0.2049524028841518,-0.0591086933613166,-0.1026351910974433,-0.1079162499164326,1.65
Zr,O,19,-0.3419377176395783,-0.0040043007703217,-0.1557278941602928,-0.129005946256626,1.33
Zr,S,11,-0.7231444753281236,-0.0577098220038514,-0.3493603868072801,-0.4051212867307233,1.33
