chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
Ag-Cr-S,Ag,Cr,S,Cr5AgS8_676751_POSCAR,35,local_max_drop,9.3766869,-0.21835633229079,-0.1581825539100779,-0.060173778380712,9.029402,17.01695,0.01856135,mp-676751,Cr5AgS8,Monoclinic,P2_1/m,11,0.011941100297624,-0.905970127976189,False,0.0,True,3.951055022973299,28,524.8160869839636,18.7434316779987,215.6198188590694,0.4108483413650731,41.08483413650731,Ag-Cr
Ag-Mn-O,Ag,Mn,O,MnAgO2_996995_POSCAR,35,global_gradient_fallback,3.774142775,-0.03137127846746,-0.0277138856511964,-0.0036573928162635,3.338665,7.112808,0.00760262,mp-996995,MnAgO2,Monoclinic,C2/m,12,0.0,-1.431450102399425,True,0.289499999999999,False,6.466486922597943,4,50.02428537290052,12.50607134322513,26.428065956485668,0.5283047175882787,52.83047175882787,Ag-Mn
Ag-Nb-O,Ag,Nb,O,Nb13AgO33_1210284_POSCAR,35,local_max_drop,5.7712823999,-0.16521497294258,-0.1052135692581558,-0.0600014036844241,5.578906,9.426428,0.02163488,mp-1210284,Nb13AgO33,Monoclinic,C2/m,12,0.003730815053199,-2.653369768164892,False,1.79,False,4.500350150590352,47,680.2630371101633,14.473681640641772,292.70539195946736,0.4302826641925364,43.02826641925365,Ag-Nb
Ag-Rh-S,Ag,Rh,S,Ag2_RhS_15_1201221_POSCAR,35,local_max_drop,13.7230983,-0.68998770888141,-0.4768707744354016,-0.2131169344460084,13.214835,24.904882,0.03801568,mp-1201221,Ag2(RhS)15,Cubic,Pm-3m,221,0.063735405975997,-0.462495538718727,False,0.0,True,7.083189685641985,64,1050.4012194270365,16.41251905354744,556.3630318132153,0.5296671610079579,52.966716100795786,Ag-Rh
Ag-V-O,Ag,V,O,V6AgO15_757033_POSCAR,35,local_max_drop,11.3430177994,-0.14274081141953,-0.0792215165304368,-0.0635192948890931,10.61121,17.929286,0.00834459,mp-757033,V6AgO15,Triclinic,P-1,2,0.02878973545455,-2.174808889621211,False,0.0,True,3.958282344303172,44,548.306463124887,12.461510525565616,241.6976098010503,0.4408075156064668,44.08075156064669,Ag-V
Ag-Y-O,Ag,Y,O,YAgO3_1369873_POSCAR,35,local_max_drop,7.6912346,-0.18565681817804,-0.1141445693847368,-0.0715122487933031,6.867174,13.459661,0.01807916,mp-1369873,YAgO3,Orthorhombic,Pnma,62,0.079617331708333,-2.084660176333332,False,0.0072,False,6.185094103225859,20,262.8602745640324,13.14301372820162,180.4549753553701,0.6865053141052377,68.65053141052377,Ag-Y
Au-Ta-S,Au,Ta,S,Ta5AuS_669370_POSCAR,35,local_max_drop,11.1503494889,-0.50347340206696,-0.2695531117121095,-0.2339202903548504,9.61237,18.840246,0.02960407,mp-669370,Ta5AuS,Cubic,F-43m,216,0.0,-0.387679552023805,True,0.0,True,15.211879356328824,28,495.0528311480107,17.680458255286094,473.1335883790587,0.9557234270974232,95.57234270974232,Au-Ta
Cd-Co-O,Cd,Co,O,Cd_CoO2_2_754042_POSCAR,35,local_max_drop,6.5799237532,-0.20589098842621,-0.1117606599537755,-0.0941303284724344,5.60512,11.941343,0.01751793,mp-754042,Cd(CoO2)2,Orthorhombic,Pmmn,59,0.004170140714285,-1.315091268571426,False,1.6511,False,6.578743263082807,28,297.11152870553354,10.611126025197626,136.33205214035803,0.4588581693020615,45.88581693020616,Cd-Co
Cd-Cr-O,Cd,Cr,O,Cr2CdO4_19262_POSCAR,35,global_gradient_fallback,6.8722386641,-0.10486281546647,-0.0839991146062803,-0.0208637008601896,6.343605,12.951527,0.01253195,mp-19262,Cr2CdO4,Cubic,Fd-3m,227,0.0,-2.141551745,True,1.8327,False,5.790301382345762,14,160.8263377757412,11.487595555410085,79.64738273537283,0.4952384282133839,49.523842821338384,Cd-Cr
Cd-Fe-O,Cd,Fe,O,Cd_FeO2_2_1283389_POSCAR,35,global_gradient_fallback,6.6575206185,-0.072057880639488,-0.0704473754642781,-0.0016105051752098,6.124919,13.04874,0.0100072,mp-1283389,Cd(FeO2)2,Monoclinic,C2/m,12,0.272493922857142,-1.344556262857142,False,0.0,True,5.931794774848385,14,161.29990958617293,11.521422113298067,73.18573821030853,0.4537246077699117,45.37246077699117,Cd-Fe
