chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
V-Zr-O,8,O,0.661016332146099,0.6851624209976079,0.9415932180560891,0.2805768859099901,12.074445465565539,-1.682540435945942,-0.3932609506119888,-0.1121504420890595,-0.8160448292694493,-3.6530935733457883
Sc-Zr-O,7,O,0.7101710990074146,0.7121502476331805,0.7354662939744606,0.02529519496704602,11.89251616884744,-0.7656138917983809,-0.2842059806405756,-0.1224190822048944,0.21166197583769092,5.639698110964023
Nb-Ni-O,3,O,0.48595499255951097,0.4875749387672984,0.9230559133229883,0.43710092076347734,10.938896929834263,-0.6736869076334131,-0.3744868521919469,-0.1565895116510073,-0.9661496157904674,-1.0277890652390538
Hf-Re-S,2,S,0.8437803356788579,0.9090185876052564,0.974256839531655,0.13047650385279708,20.89771256179658,-0.6453948569173479,-0.4948784133541204,-0.3443619697908929,1.0,2.307180819820851
Mn-Ni-O,25,O,0.3108751477075778,0.4581521971771112,0.5338386121398879,0.22296346443231013,11.017868829003106,-0.6350591431579156,-0.11291682540896232,-0.0138991671957283,-0.14790986881164236,-0.35440827445960355
W-Y-O,13,O,0.5919883077015144,0.7050893918855796,0.8142577625773844,0.2222694548758699,13.128131140010533,-0.6203389839486121,-0.14265991613854284,-0.0769367110832677,-0.2168426857970286,-0.4679665313792428
Pd-Zr-O,1,O,0.9279124231696521,0.9279124231696521,0.9279124231696521,0.0,17.474007357303698,-0.615224495228623,-0.615224495228623,-0.615224495228623,,
Mo-Zr-S,1,S,0.9315530741124083,0.9315530741124083,0.9315530741124083,0.0,20.556071047897298,-0.5950515038733954,-0.5950515038733954,-0.5950515038733954,,
V-Zr-S,1,S,0.9634059209384845,0.9634059209384845,0.9634059209384845,0.0,19.788619478274974,-0.5805452630366019,-0.5805452630366019,-0.5805452630366019,,
Ni-Ti-O,8,O,0.5043497921937391,0.5652948063401178,0.9543436719525792,0.4499938797588401,10.378172318481512,-0.5654934752935433,-0.28888011661507557,-0.080947919807489,-0.9692177019112966,-1.0513910356790042
Mn-Ti-O,22,O,0.4045160148400374,0.48338903231398134,0.879021053264883,0.4745050384248456,11.639744127896762,-0.5482996504240986,-0.12600070402391622,-0.0060734070991846,-0.7483127015152831,-0.8409142533061845
Ti-Y-O,15,O,0.6662792415703149,0.7635161717309539,0.8407885438175148,0.17450930224719985,12.69736845693993,-0.5275801206245934,-0.193425483499937,-0.0606118817541705,0.1216138426564716,0.34481099454546066
Fe-Zr-S,1,S,0.8934148949146223,0.8934148949146223,0.8934148949146223,0.0,19.155958142025092,-0.5264480911261191,-0.5264480911261191,-0.5264480911261191,,
Ni-Zr-O,4,O,0.7562420949550422,0.922522572380706,0.9462867634637636,0.19004466850872137,16.52172105471385,-0.5248567787815661,-0.23594821396428844,-0.0758376278289203,-0.36573571901673896,-0.8143769346724158
Mo-Zr-O,1,O,0.9459344877839992,0.9459344877839992,0.9459344877839992,0.0,17.63142248090928,-0.5231745838516739,-0.5231745838516739,-0.5231745838516739,,
